mean_pred,frac_pos,count,which
0.02,0.068,192,raw (uncalibrated)
0.143,0.138,29,raw (uncalibrated)
0.236,0.0,6,raw (uncalibrated)
0.367,0.333,9,raw (uncalibrated)
0.465,0.25,4,raw (uncalibrated)
0.581,0.0,3,raw (uncalibrated)
0.652,0.333,6,raw (uncalibrated)
0.728,0.333,6,raw (uncalibrated)
0.862,0.5,6,raw (uncalibrated)
0.95,0.667,12,raw (uncalibrated)
0.052,0.089,246,calibrated (isotonic)
0.111,0.3,10,calibrated (isotonic)
0.29,0.0,1,calibrated (isotonic)
0.511,0.7,10,calibrated (isotonic)
0.66,0.667,6,calibrated (isotonic)
