location,group_type,event_a,event_b,overlap_start,overlap_end,overlap_min,closures_in_pair,cascade_risk
Airport New South Road,corridor,FKID006556,FKID006557,2023-12-07 02:01:09.893000,2023-12-07 02:57:58.169000,56.8,0,3.4
Airport New South Road,corridor,FKID005086,FKID006956,2023-12-17 02:52:30.446000,2023-12-17 03:47:13.082413,54.7,0,3.4
Airport New South Road,corridor,FKID000913,FKID000916,2024-02-10 22:16:31.559000,2024-02-10 23:02:25.264000,45.9,0,3.1
Airport New South Road,corridor,FKID003018,FKID003016,2024-03-26 05:04:10.323000,2024-03-26 06:00:54.418000,56.7,0,3.4
Airport New South Road,corridor,FKID003018,FKID003036,2024-03-26 05:34:20.233000,2024-03-26 05:52:36.519377,18.3,1,5.0
Airport New South Road,corridor,FKID003016,FKID003036,2024-03-26 05:34:20.233000,2024-03-26 05:52:36.519377,18.3,1,5.0
Bannerghata Road,corridor,FKID005803,FKID005815,2023-11-11 05:45:47.779000,2023-11-11 06:04:31.225000,18.7,0,2.5
Bannerghata Road,corridor,FKID006095,FKID006098,2023-11-20 21:44:58.456000,2023-11-20 21:56:38.371000,11.7,0,2.3
Bannerghata Road,corridor,FKID006095,FKID006099,2023-11-20 21:46:56.143000,2023-11-20 21:56:38.371000,9.7,0,2.2
Bannerghata Road,corridor,FKID006098,FKID006099,2023-11-20 21:46:56.143000,2023-11-20 22:44:58.456000,58.0,0,3.5
Bannerghata Road,corridor,FKID006804,FKID005003,2023-12-15 00:22:27.427000,2023-12-15 00:41:09.217000,18.7,0,2.5
Bannerghata Road,corridor,FKID006840,FKID001976,2023-12-15 22:17:45.047000,2023-12-15 23:16:48.804000,59.1,0,3.5
Bannerghata Road,corridor,FKID006840,FKID006842,2023-12-15 22:22:58.958000,2023-12-15 23:16:48.804000,53.8,0,3.3
Bannerghata Road,corridor,FKID006840,FKID005299,2023-12-15 22:23:21.244000,2023-12-15 23:16:48.804000,53.5,0,3.3
Bannerghata Road,corridor,FKID006840,FKID005300,2023-12-15 22:24:26.998000,2023-12-15 23:16:48.804000,52.4,0,3.3
Bannerghata Road,corridor,FKID006840,FKID006855,2023-12-15 22:24:57.730000,2023-12-15 23:16:48.804000,51.9,0,3.3
Bannerghata Road,corridor,FKID006840,FKID005301,2023-12-15 22:25:00.014000,2023-12-15 23:16:48.804000,51.8,0,3.3
Bannerghata Road,corridor,FKID006840,FKID005302,2023-12-15 22:25:15.370000,2023-12-15 23:16:48.804000,51.6,0,3.3
Bannerghata Road,corridor,FKID006840,FKID005303,2023-12-15 22:26:09.980000,2023-12-15 23:16:48.804000,50.6,0,3.3
Bannerghata Road,corridor,FKID006840,FKID001972,2023-12-15 22:26:32.913000,2023-12-15 23:16:48.804000,50.3,0,3.3
Bannerghata Road,corridor,FKID006840,FKID005304,2023-12-15 22:26:57.630000,2023-12-15 23:16:48.804000,49.9,0,3.2
Bannerghata Road,corridor,FKID006840,FKID005305,2023-12-15 22:27:34.459000,2023-12-15 23:16:48.804000,49.2,0,3.2
Bannerghata Road,corridor,FKID006840,FKID005306,2023-12-15 22:28:04.719000,2023-12-15 23:16:48.804000,48.7,0,3.2
Bannerghata Road,corridor,FKID006840,FKID005307,2023-12-15 22:28:26.127000,2023-12-15 23:16:48.804000,48.4,0,3.2
