id,event_type,latitude,longitude,endlatitude,endlongitude,address,end_address,event_cause,requires_road_closure,start_datetime,end_datetime,status,authenticated,modified_datetime,map_file,direction,description,veh_type,veh_no,corridor,priority,cargo_material,reason_breakdown,age_of_truck,created_date,route_path,client_id,created_by_id,last_modified_by_id,assigned_to_police_id,citizen_accident_id,comment,police_station,meta_data,kgid,resolved_at_address,resolved_at_latitude,resolved_at_longitude,closed_by_id,closed_datetime,resolved_by_id,resolved_datetime,gba_identifier,zone,junction,end_source,clearance_mins,log_clearance,hour,day_of_week,month,is_weekend,priority_encoded,is_planned,closure_int,junction_event_count,junction_closure_rate,junction_hist_clearance,corridor_event_count,corridor_closure_rate,zone_event_count,is_known_junction,event_cause_cat,veh_type_cat,police_station_cat,pred_closure_prob,impact_score,impact_tier
FKID000001,unplanned,12.9218755,77.6451585,0.0,0.0,"19th Main Road, Heavie Halcyon, Agara, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",,vehicle_breakdown,False,2024-01-30 04:07:24.173000+00:00,,resolved,yes,2024-01-30 04:17:46.828979+00,,,Starting problem,heavy_vehicle,FKN00GL0001,ORR East 1,High,,,,2024-01-30 04:08:22.954979+00,,1,FKUSR00002,FKUSR00001,,,,HSR Layout,,FKKG000001,"19th Main Road, Heavie Halcyon, Agara, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",12.9218755,77.6451585,,,FKUSR00002,2024-01-30 04:17:46.828355+00:00,,,,resolved,10.37758925,2.4316455653076883,4,1,1,0,2,0,0,0.0,0.07664066085360258,120.36434781307175,64.0,0.0625,0.0,0,vehicle_breakdown,heavy_vehicle,HSR Layout,0.014748264,2.6,LOW
FKID000004,unplanned,12.95398,77.5852333,0.0,0.0,"Lalbagh Fort Road, Lalbagh Main Gate Junction, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",,vehicle_breakdown,False,2024-01-30 04:56:32.348000+00:00,,closed,yes,2024-01-30 05:35:17.33908+00,,,[LOCATION] ಪೈಪ್ [PERSON] ವಾಹನ ಆಫ್ ಆಗಿರುತ್ತದೆ ಸರ್,private_bus,FKN00GL0002,Non-corridor,Low,,,,2024-01-30 04:58:55.937662+00,,1,FKUSR00003,FKUSR00001,,,,Wilson Garden,,FKKG000002,,,,FKUSR00003,2024-01-30 05:35:17.338283+00:00,,,,,LalbaghMainGateJunc,closed,38.74983805,3.6826057668782046,4,1,1,0,0,0,0,3.0,0.0,113.1271040302073,756.0,0.11507936507936507,0.0,1,vehicle_breakdown,private_bus,Wilson Garden,0.018508641,1.6,LOW
FKID000018,unplanned,12.9233517,77.5904883,0.0,0.0,"36th Cross Road, Block 4T, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",,tree_fall,False,2024-03-07 19:39:29.764000+00:00,,closed,yes,2024-03-08 00:32:50.465117+00,,,ssmrv junction towards 20th main ಬಳಿ ಮರ ಬಿದ್ದಿರುತ್ತೆ,,,Non-corridor,Low,,,,2024-03-07 19:44:04.840279+00,,1,FKUSR00016,FKUSR00001,,,,Jayanagara,,FKKG000012,,,,FKUSR00016,2024-03-08 00:32:50.464450+00:00,,,,,,closed,293.3450075,5.684752574229699,19,3,3,0,0,0,0,0.0,0.07664066085360258,120.36434781307175,756.0,0.11507936507936507,0.0,0,tree_fall,nan,Jayanagara,0.69510996,5.3,MODERATE
FKID000020,unplanned,12.9071221,77.6286395,0.0,0.0,"Hosur Road, Vivekananda Circle, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",,vehicle_breakdown,False,2024-03-07 19:25:04.302000+00:00,,closed,no,2024-03-07 19:52:19.227656+00,,,ಬೊಮ್ಮನಹಳ್ಳಿ ಟವರ್ಡ್ಸ್ ಸಿಟಿ ಟೆಕ್ನಿಕಲ್ ಪ್ರಾಬ್ಲಮ್ ನಿಂದ ವೆಹಿಕಲ್ ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿರುತ್ತದೆ,heavy_vehicle,FKN00GL0007,Hosur Road,High,,,,2024-03-07 19:27:14.960257+00,,1,FKUSR00018,FKUSR00001,,,,Madiwala,,FKKG000014,,,,FKUSR00018,2024-03-07 19:52:19.227138+00:00,,,,,,closed,27.2487523,3.3410492902454054,19,3,3,0,2,0,0,0.0,0.07664066085360258,120.36434781307175,81.0,0.037037037037037035,0.0,0,vehicle_breakdown,heavy_vehicle,Madiwala,0.51693547,5.4,MODERATE
FKID000025,unplanned,12.9463911,77.597326,12.9465181,77.5973857,"12th Cross Road, Lakksandra Extension, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)","12th Cross Road, Lakksandra Extension, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)",tree_fall,True,2024-03-07 06:09:19.361000+00:00,,closed,no,2024-03-07 20:12:38.80305+00,,,no,,,Non-corridor,Low,,,,2024-03-07 06:10:16.176379+00,,1,FKUSR00022,FKUSR00001,,,,Wilson Garden,,FKKG000018,,,,FKUSR00022,2024-03-07 20:12:38.802518+00:00,,,,,,closed,843.3240253,6.738536337151205,6,3,3,0,0,0,1,0.0,0.07664066085360258,120.36434781307175,756.0,0.11507936507936507,0.0,0,tree_fall,nan,Wilson Garden,0.95982045,6.8,HIGH
FKID000028,unplanned,12.9635109,77.6642122,0.0,0.0,"Suranjan Das Road, Officers Quarters, Airport Area, Bengaluru, Karnataka. Pin-560017 (India)",,pot_holes,False,2024-01-30 08:25:57.212000+00:00,,closed,yes,2024-01-30 08:35:01.9992+00,,,A,,,,Low,,,,2024-01-30 08:28:51.106311+00,,1,FKUSR00020,FKUSR00001,,,,HAL Old Airport,,FKKG000016,,,,FKUSR00020,2024-01-30 08:35:01.998607+00:00,,,,,,closed,9.079776783333333,2.310531117887447,8,1,1,0,0,0,0,0.0,0.07664066085360258,120.36434781307175,0.0,0.07664066085360258,0.0,0,pot_holes,nan,HAL Old Airport,0.12689744,2.2,LOW
FKID000041,unplanned,12.9936273,77.5844677,12.9934867,77.584375,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)","Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",others,True,2024-03-07 20:20:31.140000+00:00,,closed,yes,2024-03-07 22:06:56.28958+00,,,Near cm office [PERSON] towards B02 junction sir,,,Bellary Road 1,High,,,,2024-03-07 20:23:59.6178+00,,1,FKUSR00032,FKUSR00001,,,,High ground,,FKKG000026,,,,FKUSR00032,2024-03-07 22:06:56.289070+00:00,,,,,,closed,106.41915116666668,4.6767384824414995,20,3,3,0,2,0,1,0.0,0.07664066085360258,120.36434781307175,158.0,0.06962025316455696,0.0,0,others,nan,High ground,0.921115,7.6,HIGH
FKID000047,unplanned,13.0262806,77.5442344,0.0,0.0,"1st Main Road, Sri Vijayamaruthi Circle, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",,others,False,2024-03-07 20:27:15.443000+00:00,,closed,yes,2024-03-07 22:40:47.233521+00,,,mei signal off due to power Problem,,,Tumkur Road,High,,,,2024-03-07 20:29:28.84539+00,,1,FKUSR00038,FKUSR00001,,,,Yeshwanthpura,,FKKG000032,,,,FKUSR00038,2024-03-07 22:40:47.232952+00:00,,,,,,closed,133.52983253333335,4.901785977669006,20,3,3,0,2,0,0,0.0,0.07664066085360258,120.36434781307175,163.0,0.03067484662576687,0.0,0,others,nan,Yeshwanthpura,0.017759766,2.6,LOW
FKID000049,unplanned,12.9188682,77.6687736,0.0,0.0,"Sarjapura Main Road, Sri Balaji Layout, Bellandur Gate, Bellandur, Bengaluru, Karnataka. Pin-560102 (India)",,vehicle_breakdown,False,2024-01-30 21:27:52.454000+00:00,,closed,yes,2024-01-30 22:23:24.958236+00,,,BMTC buss off -road due to break down..fire station jn towards [LOCATION],bmtc_bus,FKN00GL0017,ORR East 1,High,,,,2024-01-30 21:29:36.526728+00,,1,FKUSR00040,FKUSR00001,,,,Bellandur,,FKKG000034,,,,FKUSR00040,2024-01-30 22:23:24.957711+00:00,,,,,,closed,55.541728516666666,4.034978923369892,21,1,1,0,2,0,0,0.0,0.07664066085360258,120.36434781307175,64.0,0.0625,0.0,0,vehicle_breakdown,bmtc_bus,Bellandur,0.04943897,2.8,LOW
FKID000052,planned,12.9694079,77.7006346,0.0,0.0,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",,construction,False,2024-01-30 20:56:01.732000+00:00,2024-01-31 09:05:46+00:00,closed,yes,2024-01-31 09:35:47.797656+00,,,[LOCATION] towards marathhalli and karthiknagara towards mahadevpura traffic movement will be slow due to metrostation work,,,ORR East 2,High,,,,2024-01-30 20:56:43.100304+00,,1,FKUSR00043,FKUSR00001,,,,HAL Old Airport,,FKKG000037,,,,,,,,,,,end,729.7378,6.594054708675801,20,1,1,0,2,1,0,0.0,0.07664066085360258,120.36434781307175,94.0,0.010638297872340425,0.0,0,construction,nan,HAL Old Airport,0.016629102,3.6,MODERATE
