id,event_type,latitude,longitude,event_cause,requires_road_closure,start_datetime,end_datetime,resolved_datetime,closed_datetime,status,authenticated,modified_datetime,priority,corridor,zone,junction,police_station,created_date,client_id,gba_identifier,kgid,endlatitude,endlongitude,end_address,address,description,veh_type,veh_no,cargo_material,reason_breakdown,age_of_truck,route_path,assigned_to_police_id,citizen_accident_id,comment,meta_data,map_file,direction,created_by_id,last_modified_by_id,closed_by_id,resolved_by_id,resolved_at_address,resolved_at_latitude,resolved_at_longitude
FKID000000,unplanned,13.101754873692515,77.5078434445857,accident,False,2023-01-01 00:00:00,2023-01-01 02:00:00,2023-01-01 01:30:00,2023-01-01 02:00:00,resolved,yes,2023-01-01 00:00:00,Medium,Mysore Road,West Zone,SilkBoardJunction,Cubbon Park,2023-01-01 00:00:00,2,,KG0,,,,,,,,,,,,,,,,,,,,,,,,
FKID000001,unplanned,12.839545783547674,77.72368928480348,breakdown,True,2023-01-01 06:00:00,2023-01-01 08:00:00,2023-01-01 07:30:00,2023-01-01 08:00:00,resolved,yes,2023-01-01 06:00:00,High,Outer Ring Road,Central Zone 1,,Cubbon Park,2023-01-01 06:00:00,3,,KG1,,,,,,,,,,,,,,,,,,,,,,,,
FKID000002,unplanned,12.875965495624468,77.61641814056092,construction,False,2023-01-01 12:00:00,2023-01-01 14:00:00,2023-01-01 13:30:00,2023-01-01 14:00:00,resolved,yes,2023-01-01 12:00:00,High,Outer Ring Road,Central Zone 1,SilkBoardJunction,Cubbon Park,2023-01-01 12:00:00,2,,KG2,,,,,,,,,,,,,,,,,,,,,,,,
FKID000003,unplanned,13.222320468607727,77.70314351584909,breakdown,True,2023-01-01 18:00:00,2023-01-01 20:00:00,2023-01-01 19:30:00,2023-01-01 20:00:00,resolved,yes,2023-01-01 18:00:00,Medium,Hosur Road,West Zone,MekhriCircle,Cubbon Park,2023-01-01 18:00:00,2,,KG3,,,,,,,,,,,,,,,,,,,,,,,,
FKID000004,unplanned,13.085021658040008,77.56641339227826,accident,True,2023-01-02 00:00:00,2023-01-02 02:00:00,2023-01-02 01:30:00,2023-01-02 02:00:00,resolved,yes,2023-01-02 00:00:00,Medium,Tumkur Road,West Zone,UrvashiJunction,Cubbon Park,2023-01-02 00:00:00,4,,KG4,,,,,,,,,,,,,,,,,,,,,,,,
FKID000005,unplanned,12.804322614259817,77.72179127169397,breakdown,False,2023-01-02 06:00:00,2023-01-02 08:00:00,2023-01-02 07:30:00,2023-01-02 08:00:00,resolved,yes,2023-01-02 06:00:00,Low,NH 44,West Zone,MarathahalliBridge,Cubbon Park,2023-01-02 06:00:00,2,,KG5,,,,,,,,,,,,,,,,,,,,,,,,
FKID000006,planned,12.847691625147036,77.58508445325823,accident,False,2023-01-02 12:00:00,2023-01-02 14:00:00,2023-01-02 13:30:00,2023-01-02 14:00:00,resolved,yes,2023-01-02 12:00:00,Low,Outer Ring Road,Central Zone 1,SilkBoardJunction,Cubbon Park,2023-01-02 12:00:00,4,Bengaluru Central Corporation,KG6,,,,,,,,,,,,,,,,,,,,,,,,
FKID000007,unplanned,13.111845831480785,77.48292616589968,breakdown,False,2023-01-02 18:00:00,2023-01-02 20:00:00,2023-01-02 19:30:00,2023-01-02 20:00:00,resolved,yes,2023-01-02 18:00:00,Medium,Mysore Road,Central Zone 1,UrvashiJunction,Cubbon Park,2023-01-02 18:00:00,2,,KG7,,,,,,,,,,,,,,,,,,,,,,,,
FKID000008,unplanned,12.802378944407723,77.7244531336332,accident,True,2023-01-03 00:00:00,2023-01-03 02:00:00,2023-01-03 01:30:00,2023-01-03 02:00:00,resolved,yes,2023-01-03 00:00:00,Medium,Hosur Road,West Zone,MekhriCircle,Cubbon Park,2023-01-03 00:00:00,1,Bengaluru Central Corporation,KG8,,,,,,,,,,,,,,,,,,,,,,,,
FKID000009,unplanned,12.875579784166225,77.50464740273226,accident,False,2023-01-03 06:00:00,2023-01-03 08:00:00,2023-01-03 07:30:00,2023-01-03 08:00:00,resolved,yes,2023-01-03 06:00:00,Medium,NH 44,North Zone,HebbalFlyover,Cubbon Park,2023-01-03 06:00:00,2,Bengaluru Central Corporation,KG9,,,,,,,,,,,,,,,,,,,,,,,,
FKID000010,planned,13.057904881002296,77.56621468214942,accident,False,2023-01-03 12:00:00,2023-01-03 14:00:00,2023-01-03 13:30:00,2023-01-03 14:00:00,resolved,yes,2023-01-03 12:00:00,Medium,Hosur Road,North Zone,,Cubbon Park,2023-01-03 12:00:00,1,,KG10,,,,,,,,,,,,,,,,,,,,,,,,
FKID000011,unplanned,13.125190742915565,77.73651673110372,construction,False,2023-01-03 18:00:00,2023-01-03 20:00:00,2023-01-03 19:30:00,2023-01-03 20:00:00,resolved,yes,2023-01-03 18:00:00,Medium,NH 44,Central Zone 2,UrvashiJunction,Cubbon Park,2023-01-03 18:00:00,1,,KG11,,,,,,,,,,,,,,,,,,,,,,,,
FKID000012,unplanned,13.106421791966222,77.73666392967314,breakdown,False,2023-01-04 00:00:00,2023-01-04 02:00:00,2023-01-04 01:30:00,2023-01-04 02:00:00,resolved,yes,2023-01-04 00:00:00,Medium,NH 44,East Zone,UrvashiJunction,Cubbon Park,2023-01-04 00:00:00,2,Bengaluru Central Corporation,KG12,,,,,,,,,,,,,,,,,,,,,,,,
FKID000013,unplanned,12.905406575446463,77.63482822979329,breakdown,False,2023-01-04 06:00:00,2023-01-04 08:00:00,2023-01-04 07:30:00,2023-01-04 08:00:00,resolved,yes,2023-01-04 06:00:00,Medium,Outer Ring Road,North Zone,HebbalFlyover,Cubbon Park,2023-01-04 06:00:00,1,,KG13,,,,,,,,,,,,,,,,,,,,,,,,
FKID000014,unplanned,13.134724234033342,77.65059604728584,breakdown,False,2023-01-04 12:00:00,2023-01-04 14:00:00,2023-01-04 13:30:00,2023-01-04 14:00:00,resolved,yes,2023-01-04 12:00:00,Medium,Hosur Road,Central Zone 1,UrvashiJunction,Cubbon Park,2023-01-04 12:00:00,4,,KG14,,,,,,,,,,,,,,,,,,,,,,,,
FKID000015,unplanned,12.911507071123497,77.60108029093415,accident,False,2023-01-04 18:00:00,2023-01-04 20:00:00,2023-01-04 19:30:00,2023-01-04 20:00:00,resolved,yes,2023-01-04 18:00:00,Medium,Hosur Road,North Zone,MekhriCircle,Cubbon Park,2023-01-04 18:00:00,3,Bengaluru Central Corporation,KG15,,,,,,,,,,,,,,,,,,,,,,,,
FKID000016,unplanned,12.952937858134856,77.55916690835848,breakdown,False,2023-01-05 00:00:00,2023-01-05 02:00:00,2023-01-05 01:30:00,2023-01-05 02:00:00,resolved,yes,2023-01-05 00:00:00,Medium,Mysore Road,Central Zone 2,MekhriCircle,Cubbon Park,2023-01-05 00:00:00,2,Bengaluru Central Corporation,KG16,,,,,,,,,,,,,,,,,,,,,,,,
FKID000017,unplanned,13.15085096040547,77.56873942724988,breakdown,False,2023-01-05 06:00:00,2023-01-05 08:00:00,2023-01-05 07:30:00,2023-01-05 08:00:00,resolved,yes,2023-01-05 06:00:00,Low,Mysore Road,Central Zone 2,HebbalFlyover,Cubbon Park,2023-01-05 06:00:00,1,Bengaluru Central Corporation,KG17,,,,,,,,,,,,,,,,,,,,,,,,
FKID000018,unplanned,13.105327462552191,77.6615799831408,accident,True,2023-01-05 12:00:00,2023-01-05 14:00:00,2023-01-05 13:30:00,2023-01-05 14:00:00,resolved,yes,2023-01-05 12:00:00,Low,Outer Ring Road,East Zone,,Cubbon Park,2023-01-05 12:00:00,2,,KG18,,,,,,,,,,,,,,,,,,,,,,,,
FKID000019,unplanned,13.199135002932262,77.68314112294817,event,False,2023-01-05 18:00:00,2023-01-05 20:00:00,2023-01-05 19:30:00,2023-01-05 20:00:00,resolved,yes,2023-01-05 18:00:00,High,Outer Ring Road,North Zone,MarathahalliBridge,Cubbon Park,2023-01-05 18:00:00,4,Bengaluru Central Corporation,KG19,,,,,,,,,,,,,,,,,,,,,,,,
FKID000020,unplanned,13.109078059381162,77.69372634180598,accident,False,2023-01-06 00:00:00,2023-01-06 02:00:00,2023-01-06 01:30:00,2023-01-06 02:00:00,resolved,yes,2023-01-06 00:00:00,Low,Tumkur Road,Central Zone 1,SilkBoardJunction,Cubbon Park,2023-01-06 00:00:00,2,,KG20,,,,,,,,,,,,,,,,,,,,,,,,
FKID000021,unplanned,13.067105043567672,77.69319689855453,breakdown,True,2023-01-06 06:00:00,2023-01-06 08:00:00,2023-01-06 07:30:00,2023-01-06 08:00:00,resolved,yes,2023-01-06 06:00:00,Medium,Mysore Road,Central Zone 1,MarathahalliBridge,Cubbon Park,2023-01-06 06:00:00,2,Bengaluru Central Corporation,KG21,,,,,,,,,,,,,,,,,,,,,,,,
FKID000022,unplanned,12.844027140879204,77.50462564782315,accident,True,2023-01-06 12:00:00,2023-01-06 14:00:00,2023-01-06 13:30:00,2023-01-06 14:00:00,resolved,yes,2023-01-06 12:00:00,Low,NH 44,West Zone,UrvashiJunction,Cubbon Park,2023-01-06 12:00:00,1,Bengaluru Central Corporation,KG22,,,,,,,,,,,,,,,,,,,,,,,,
FKID000023,unplanned,12.972826427437933,77.6134934822697,event,False,2023-01-06 18:00:00,2023-01-06 20:00:00,2023-01-06 19:30:00,2023-01-06 20:00:00,resolved,yes,2023-01-06 18:00:00,Low,Hosur Road,Central Zone 1,SilkBoardJunction,Cubbon Park,2023-01-06 18:00:00,4,Bengaluru Central Corporation,KG23,,,,,,,,,,,,,,,,,,,,,,,,
FKID000024,unplanned,12.924645112810412,77.4955408652045,accident,False,2023-01-07 00:00:00,2023-01-07 02:00:00,2023-01-07 01:30:00,2023-01-07 02:00:00,resolved,yes,2023-01-07 00:00:00,Medium,Outer Ring Road,East Zone,HebbalFlyover,Cubbon Park,2023-01-07 00:00:00,3,,KG24,,,,,,,,,,,,,,,,,,,,,,,,
FKID000025,unplanned,12.91467513238817,77.62837279822742,breakdown,False,2023-01-07 06:00:00,2023-01-07 08:00:00,2023-01-07 07:30:00,2023-01-07 08:00:00,resolved,yes,2023-01-07 06:00:00,High,Hosur Road,East Zone,HebbalFlyover,Cubbon Park,2023-01-07 06:00:00,3,,KG25,,,,,,,,,,,,,,,,,,,,,,,,
